
Fixed structural parameters:
  gamma_k    = 0.112026
  gamma_l    = 0.855904
  rho        = 0.815676
  sigma_eps  = 0.038788
  sigma      = 3.144978
  exit_rate  = 0.074896

Calibration targets (base period):
  med_sga/rev  = 0.1834
  med_capx/rev = 0.0451
  pct_neg      = 10.8529%

Loaded pct_neg by year: 40 years (1980-2019)

Loaded initial guesses from /gpfs/projects/p32386/Demand_Shifting/calibrated_investment_params.csv:
  alpha_a_init = 0.458870
  alpha_k_init = 0.732125
  phi_0_init   = 0.100000

Initializing warm start ...

============================================================
Phase 1: Differential Evolution (global search)
  Targets: adv/rev=0.1834  capx/rev=0.0451  pct_neg@1980=10.85%
============================================================
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.193e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.274e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.213e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.244e+00
Warning: VF EGM did not converge after 250 iterations
Final sup-norm diff = 1.327e+00
BAD EQM! Bounds: m=0.000 k=0.000
aa=0.3597 ak=0.6858 phi0=-0.2442 | adv=0.0629 inv=0.0362 pct=7.49% | ||res||=0.686642
aa=0.5446 ak=0.6285 phi0=-0.2526 | adv=0.0959 inv=0.0339 pct=8.93% | ||res||=0.538157
aa=0.4636 ak=0.7543 phi0=-0.1881 | adv=0.0902 inv=0.0414 pct=7.65% | ||res||=0.515505
aa=0.4430 ak=0.8923 phi0=-0.4639 | adv=0.0518 inv=0.0390 pct=7.49% | ||res||=0.731201
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.494e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.494e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.494e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.494e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.887e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.887e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.887e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.887e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.427e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.427e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.427e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.427e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.333e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.333e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.333e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.333e-05
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.926e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.925e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.926e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.926e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.764e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.765e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.764e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 4.764e-06
BAD EQM! Bounds: m=0.000 k=0.000
aa=0.5356 ak=0.1046 phi0=-0.1582 | adv=0.1062 inv=0.0053 pct=14.42% | ||res||=0.979188
aa=0.4485 ak=0.6406 phi0=-0.1893 | adv=0.0865 inv=0.0341 pct=7.91% | ||res||=0.582606
aa=0.1962 ak=0.7056 phi0=0.4452 | adv=0.0723 inv=0.0432 pct=11.19% | ||res||=0.607081
aa=0.8395 ak=0.7164 phi0=-0.0786 | adv=0.2191 inv=0.0442 pct=28.10% | ||res||=0.260760
aa=0.8683 ak=0.8949 phi0=-0.1525 | adv=0.2026 inv=0.0576 pct=23.27% | ||res||=0.322493
aa=0.6564 ak=0.4108 phi0=0.1730 | adv=0.2260 inv=0.0245 pct=29.64% | ||res||=0.544487
aa=0.4424 ak=0.7077 phi0=0.4378 | adv=0.1928 inv=0.0488 pct=26.40% | ||res||=0.183550
aa=0.3986 ak=0.8733 phi0=0.8495 | adv=0.2997 inv=0.0530 pct=31.62% | ||res||=0.689749
aa=0.7560 ak=0.6128 phi0=-0.4716 | adv=0.0866 inv=0.0306 pct=9.73% | ||res||=0.618293
aa=0.8445 ak=0.6560 phi0=-0.4227 | adv=0.1062 inv=0.0336 pct=14.21% | ||res||=0.492367
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.292e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.331e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.089e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.603e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.147e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.708e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.653e+00
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 3.100e+00
BAD EQM! Bounds: m=0.000 k=0.000
aa=0.5929 ak=0.7056 phi0=0.2261 | adv=0.2276 inv=0.0490 pct=30.20% | ||res||=0.321358
aa=0.7320 ak=0.4896 phi0=-0.0903 | adv=0.1697 inv=0.0275 pct=21.55% | ||res||=0.411508
aa=0.8315 ak=0.2060 phi0=-0.3614 | adv=0.1178 inv=0.0104 pct=14.42% | ||res||=0.849182
aa=0.3769 ak=0.8805 phi0=-0.2399 | adv=0.0670 inv=0.0414 pct=7.49% | ||res||=0.640916
aa=0.7756 ak=0.8771 phi0=-0.2748 | adv=0.1333 inv=0.0420 pct=13.94% | ||res||=0.283545
aa=0.4400 ak=0.6454 phi0=0.2757 | adv=0.1560 inv=0.0397 pct=21.19% | ||res||=0.217008
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 9.319e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 2.050e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 6.546e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 5.469e-02
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 9.680e-01
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 5.974e-01
